"title","site","country","year_release","box_office","director","number_of_subjects","subject","type_of_subject","race_known","subject_race","person_of_color","subject_sex","lead_actor_actress"
"Mask","tt0089560","US",1985,42400000,"Peter Bogdanovich",1,"Roy Lee ""Rocky"" Dennis","Other","Known","White",FALSE,"Male","Eric Stolz"
"Meetings with Remarkable Men","tt0079542","UK",1979,NA,"Peter Brook",1,"G.I. Gurdjieff","Other","Known","White",FALSE,"Male","Dragan Maksimovic"
"Men of Honor","tt0203019","US",2000,48800000,"George Tillman Jr.",1,"Carl Brashear","Athlete","Known","African American",TRUE,"Male","Cuba Gooding Jr"
"Mesmer","tt0110496","Canada/UK",1994,NA,"Roger Spottiswoode",1,"Franz Anton Mesmer","Medicine","Known","White",FALSE,"Male","Alan Rickman"
"Mesrine Part 1: Killer Instinct","tt1259014","Canada",2008,552000,"Jean-FranÃ§ois Richet",1,"Jacques Mesrine","Criminal","Known","White",FALSE,"Male","Vincent Cassel"
"Mesrine Part 2: Public Enemy #1","tt0411272","Canada",2008,275000,"Jean-FranÃ§ois Richet",1,"Jacques Mesrine","Criminal","Known","White",FALSE,"Male","Vincent Cassel"
"Michael Collins","tt0117039","US/UK",1996,1.1e+07,"Neil Jordan",1,"Michael Collins","Activist","Known","White",FALSE,"Male","Liam Neeson"
"Midnight Express","tt0077928","US/UK",1978,3.5e+07,"Alan Parker",1,"Billy Hayes","Criminal","Unknown",NA,FALSE,"Male","Brad Davis"
"Milk","tt1013753","US",2008,31800000,"Gus Van Sant",1,"Harvey Milk","Activist","Known","White",FALSE,"Male","Sean Penn"
"Million Dollar Arm","tt1647668","US",2014,36400000,"Craig Gillespie",1,"J. B. Bernstein","Athlete","Known","White",FALSE,"Male","Jon Hamm"
"Million Dollar Mermaid","tt0044903","US",1952,NA,"Mervyn LeRoy",1,"Annette Kellerman","Athlete","Known","White",FALSE,"Female","Esther Williams"
"Miracle","tt0349825","US",2004,64400000,"Gavin O'Connor",1,"Herb Brooks","Athlete","Unknown",NA,FALSE,"Male","Kurt Russell"
"Mishima: A Life in Four Chapters","tt0089603","US",1985,450000,"Paul Schrader",1,"Yukio Mishima","Author","Known","Asian",TRUE,"Male","Ken Ogata"
"Miss Potter","tt0482546","US/UK",2006,2980000,"Chris Noonan",1,"Beatrix Potter","Author","Known","White",FALSE,"Female","RenÃ©e Zellweger"
"Mockingbird Don't Sing","tt0273822","US",2001,NA,"Harry Bromley Davenport",1,"Genie (pseudonym)","Other","Unknown",NA,FALSE,"Female","Tarra Steele"
"Modigliani","tt0367188","UK",2004,195000,"Mick Davis",1,"Amedeo Modigliani","Artist","Known","White",FALSE,"Male","Andy Garcia"
"Mommie Dearest","tt0082766","US",1981,NA,"Frank Perry",1,"Joan Crawford","Actress","Known","White",FALSE,"Female","Faye Dunaway"
"Moneyball","tt1210166","US",2011,75600000,"Bennett Miller",1,"Billy Beane","Athlete","Known","White",FALSE,"Male","Brad Pitt"
"Monsieur N.","tt0308595","UK",2003,16800,"Antoine de Caunes",1,"Napoleon Bonaparte","Historical","Known","White",FALSE,"Male","Philippe Torreton"
"Monster","tt0340855","US",2003,34500000,"Patty Jenkins",1,"Aileen Wuornos","Criminal","Unknown",NA,FALSE,"Female","Charlize Theron"
"Moulin Rouge","tt0044926","UK",1952,NA,"John Huston",1,"Henri de Toulouse-Lautrec","Artist","Unknown",NA,FALSE,"Male","JosÃ© Ferrer"
"Mr. Nice","tt1183911","UK",2010,NA,"Bernard Rose",1,"Howard Marks","Criminal","Unknown",NA,FALSE,"Male","Rhys Ifans"
"Mr. Turner","tt2473794","UK",2014,3960000,"Mike Leigh",1,"J.M.W. Turner","Artist","Known","White",FALSE,"Male","Timothy Spall"
"Mrs Brown","tt0119280","US/UK",1997,9220000,"John Madden",1,"Victoria","Historical","Known","White",FALSE,"Female","Judi Dench"
"Mrs. Parker and the Vicious Circle","tt0110588","US/Canada",1994,2140000,"Alan Rudolph",1,"Dorothy Parker","Author","Known","White",FALSE,"Female","Jennifer Jason Leigh"
"Muhammad: The Last Prophet","tt0430377","US",2002,NA,"Richard Rich",1,"Muhammad","Historical","Known","Middle Eastern",TRUE,"Male",NA
"Murder, Inc.","tt0054102","US",1960,NA,"Burt Balaban, Stuart Rosenberg",1,"Burton Turkus","Other","Unknown",NA,FALSE,"Male","Henry Morgan"
"Music Within","tt0422783","US",2007,153000,"Steven Sawalich",1,"Richard Pimentel","Activist","Known","Multi racial",TRUE,"Male","Ron Livingston"
"My Childhood","tt0068983","UK",1972,NA,"Bill Douglas",1,"Bill Douglas","Other","Unknown",NA,FALSE,"Male","Stephen Archibald"
"My Dinner with Andre","tt0082783","US",1981,5070,"Louis Malle",2,"Andre Gregory","Actor","Known","White",FALSE,"Male","Andre Gregory"
"My Dinner with Andre","tt0082783","US",1981,5070,"Louis Malle",2,"Wallace Shawn","Actor","Known","White",FALSE,"Male","Wallace Shawn"
"My Left Foot","tt0097937","UK",1989,14700000,"Jim Sheridan",1,"Christy Brown","Artist","Known","White",FALSE,"Male","Daniel Day-Lewis"
"My Life So Far","tt0120899","US/UK",1999,616000,"Hugh Hudson",1,"Denis Forman","Other","Known","White",FALSE,"Male","Robert Norman"
"My One and Only","tt1185431","US",2009,2480000,"Richard Loncraine",1,"George Hamilton","Other","Known","White",FALSE,"Male","Logan Lerman"
"My Week with Marilyn","tt1655420","US/UK",2011,14600000,"Simon Curtis",1,"Marilyn Monroe","Actress","Unknown",NA,FALSE,"Female","Michelle Williams"
"Ned Kelly","tt0277941","US/UK",2003,74900,"Gregor Jordan",1,"Ned Kelly","Criminal","Known","White",FALSE,"Male","Heath Ledger"
"Nicholas and Alexandra","tt0067483","UK",1971,NA,"Franklin J. Schaffner",2,"Tsarina Alexandra (Feodorovna)","Historical","Known","White",FALSE,"Female","Janet Suzman"
"Nicholas and Alexandra","tt0067483","UK",1971,NA,"Franklin J. Schaffner",2,"Tsar Nicholas II","Historical","Known","White",FALSE,"Male","Michael Jayston"
"Night and Day","tt0038776","US",1946,NA,"Michael Curtiz",1,"Cole Porter","Musician","Unknown",NA,FALSE,"Male","Cary Grant"
"Nightwatching","tt0446750","Canada/UK",2007,NA,"Peter Greenaway",1,"Rembrandt","Artist","Known","White",FALSE,"Male","Martin Freeman"
"Nixon","tt0113987","US",1995,13600000,"Oliver Stone",1,"Richard Milhous Nixon","World leader","Known","White",FALSE,"Male","Anthony Hopkins"
"Nora","tt0158033","UK",2000,12300,"Pat Murphy",2,"James Joyce","Author","Known","White",FALSE,"Male","Ewan McGregor"
"Nora","tt0158033","UK",2000,12300,"Pat Murphy",2,"Nora Barnacle","Other","Unknown",NA,FALSE,"Female","Susan Lynch"
"Nostradamus","tt0110689","UK",1994,364000,"Roger Christian",1,"Nostradamus","Historical","Unknown",NA,FALSE,"Male","TchÃ©ky Karyo"
"Notorious","tt0472198","US",2009,36800000,"George Tillman Jr.",1,"Christopher Wallace (Biggie Smalls)","Musician","Known","Caribbean",TRUE,"Male","Jamal Woolard"
"Nowhere Boy","tt1266029","Canada/UK",2009,1450000,"Sam Taylor-Johnson",1,"John Lennon","Musician","Known","White",FALSE,"Male","Aaron Taylor-Johnson"
"October Sky","tt0132477","US",1999,32500000,"Joe Johnston",1,"Homer Hickam","Other","Known","Multi racial",TRUE,"Male","Jake Gyllenhaal"
"One Chance","tt1196956","US/UK",2013,89700,"David Frankel",1,"Paul Potts","Musician","Unknown",NA,FALSE,"Male","James Corden"
"One Foot in Heaven","tt0033980","US",1941,NA,"Irving Rapper",1,"William Spence","Other","Known","White",FALSE,"Male","Fredric March"
"One Night with the King","tt0430431","US",2006,13400000,"Michael O. Sajbel",1,"Hadassah (Esther)","Historical","Known","Middle Eastern (White)",FALSE,"Female","Tiffany Dupont"
"Open Water","tt0374102","US",2003,30500000,"Chris Kentis",2,"Eileen Lonergan","Other","Unknown",NA,FALSE,"Female","Blanchard Ryan"
"Open Water","tt0374102","US",2003,30500000,"Chris Kentis",2,"Tom Lonergan","Other","Unknown",NA,FALSE,"Male","Daniel Travis"
"Out of Africa","tt0089755","US",1985,87100000,"Sydney Pollack",1,"Karen Blixen","Other","Known","White",FALSE,"Female","Meryl Streep"
"Pandaemonium","tt0210217","UK",2000,NA,"Julien Temple",2,"William Wordsworth","Author (poet)","Unknown",NA,FALSE,"Male","John Hannah"
"Pandaemonium","tt0210217","UK",2001,NA,"Julien Temple",2,"Samuel Taylor Coleridge","Author (poet)","Unknown",NA,FALSE,"Male","Linus Roache"
"Papillon","tt0070511","US",1973,53300000,"Franklin J. Schaffner",1,"Henri ""Papillon"" CharriÃ¨re","Criminal","Known","White",FALSE,"Male","Steve McQueen"
"Party Monster","tt0320244","US",2003,297000,"Fenton Bailey, Randy Barbato",1,"Michael Alig","Criminal","Unknown",NA,FALSE,"Male","Macaulay Culkin"
"Patch Adams","tt0129290","US",1998,1.35e+08,"Tom Shadyac",1,"Hunter Doherty ""Patch"" Adams","Medicine","Unknown",NA,FALSE,"Male","Robin Williams"
"Patton","tt0066206","US",1970,NA,"Franklin J. Schaffner",1,"George Patton","Military","Known","White",FALSE,"Male","George Scott"
"Patty Hearst","tt0095836","US/UK",1988,1220000,"Paul Schrader",1,"Patty Hearst","Other","Known","White",FALSE,"Female","Natasha Richardson"
"Permanent Midnight","tt0120788","US",1998,1170000,"David Veloz",1,"Jerry Stahl","Comedian","Known","White",FALSE,"Male","Ben Stiller"
"Persepolis","tt0808417","US",2007,4440000,"Vincent Paronnaud, Marjane Satrapi",1,"Marjane 'Marji' Satrapi","Activist","Known","Middle Eastern",TRUE,"Female","Chiara Mastroianni"
"Phantom Punch","tt1131747","US",2008,NA,"Robert Townsend",1,"Sonny Liston","Athlete","Known","African American",TRUE,"Male","Ving Rhames"
"Philomena","tt2431286","US/UK",2013,37700000,"Stephen Frears",1,"Philomena Lee","Other","Known","White",FALSE,"Female","Judi Dench"
"Pierrepoint: The Last Hangman","tt0462477","US/UK",2005,21800,"Adrian Shergold",1,"Albert Pierrepoint","Other","Known","White",FALSE,"Male","Timothy Spall"
"PiÃ±ero","tt0261066","US",2001,1420000,"Leon Ichaso",1,"Miguel PiÃ±ero","Actor","Known","Hispanic (Latin American)",TRUE,"Male","Benjamin Bratt"
"Pollock","tt0183659","US",2000,8600000,"Ed Harris",1,"Jackson Pollock","Artist","Known","White",FALSE,"Male","Ed Harris"
"Prefontaine","tt0119937","US",1997,532000,"Steve James",1,"Steve Prefontaine","Athlete","Known","White",FALSE,"Male","Jared Leto"
"Prick Up Your Ears","tt0093776","UK",1987,1650000,"Stephen Frears",2,"Joe Orton","Author","Unknown",NA,FALSE,"Male","Gary Oldman"
"Prick Up Your Ears","tt0093776","UK",1987,1650000,"Stephen Frears",2,"Kenneth Halliwell","Other","Unknown",NA,FALSE,"Male","Alfred Molina"
"Pride of the Marines","tt0038000","US",1945,NA,"Delmer Daves",1,"Al Schmid","Military","Known","White",FALSE,"Male","John Garfield"
"Private Parts","tt0119951","US",1997,41200000,"Betty Thomas",1,"Howard Stern","Media","Known","White",FALSE,"Male","Howard Stern"
"PT 109","tt0057393","US",1963,NA,"Leslie H. Martinson",1,"John F. Kennedy","Military","Known","White",FALSE,"Male","Cliff Robertson"
"Public Enemies","tt1152836","US",2009,9.7e+07,"Michael Mann",1,"John Dillinger","Criminal","Unknown",NA,FALSE,"Male","Johnny Depp"
"Queen Christina","tt0024481","US",1933,NA,"Rouben Mamoulian",1,"Christina, queen of Sweden","Historical","Known","White",FALSE,"Female","Greta Garbo"
"Quills","tt0180073","US/UK",2000,7060000,"Philip Kaufman",1,"Marquis de Sade","Criminal","Known","White",FALSE,"Male","Geoffrey Rush"
"Quo Vadis","tt0043949","US",1951,NA,"Mervyn LeRoy",2,"Lygia","Historical","Known","White",FALSE,"Female","Deborah Kerr"
"Quo Vadis","tt0043949","US",1951,NA,"Mervyn LeRoy",2,"Marcus Vinicius","Historical","Known","White",FALSE,"Male","Robert Taylor"
"Radio","tt0316465","US",2003,52300000,"Michael Tollin",2,"James Robert ""Radio"" Kennedy","Athlete","Known","African American",TRUE,"Male","Cuba Gooding Jr"
"Radio","tt0316465","US",2003,52300000,"Michael Tollin",2,"Harold Jones","Athlete","Unknown",NA,FALSE,"Male","Ed Harris"
"Ragamuffin","tt2412568","US",2014,NA,"David Schultz",1,"Rich Mullins","Singer","Known","White",FALSE,"Male","David Schultz"
"Raging Bull","tt0081398","US",1980,45200,"Martin Scorsese",1,"Jake LaMotta","Athlete","Known","White",FALSE,"Male","Robert De Niro"
"Rasputin: The Mad Monk","tt0059635","UK",1966,NA,"Don Sharp",1,"Grigori Rasputin","Other","Known","White",FALSE,"Male","Christopher Lee"
"Ray","tt0350258","US",2004,75300000,"Taylor Hackford",1,"Ray Charles","Musician","Known","African American",TRUE,"Male","Jamie Foxx"
"Reach for the Sky","tt0049665","UK",1956,NA,"Lewis Gilbert",1,"Douglas Bader","Military","Unknown",NA,FALSE,"Male","Kenneth More"
"Reds","tt0082979","US",1981,NA,"Warren Beatty",1,"John Reed","Media","Known","White",FALSE,"Male","Warren Beaty"
"Regeneration","tt0005960","US",1915,NA,"Raoul Walsh",1,"Owen Kildare","Other","Known","White",FALSE,"Male","Rockliffe Fellowes"
"Rembrandt","tt0028167","UK",1936,NA,"Alexander Korda",1,"Rembrandt","Artist","Known","White",FALSE,"Male","Charles Laughton"
"Remember the Titans","tt0210945","US",2000,1.16e+08,"Boaz Yakin",1,"Herman Boone","Athlete","Known","African American",TRUE,"Male","Denzel Washington"
"Rescue Dawn","tt0462504","US",2006,5480000,"Werner Herzog",1,"Dieter Dengler","Military","Known","White",FALSE,"Male","Christian Bale"
"Restoration","tt0114272","US/UK",1995,4100000,"Michael Hoffman",1,"Charles II","Historical","Known","White",FALSE,"Male","Sam Neill"
"Reversal of Fortune","tt0100486","US/UK",1990,15400000,"Barbet Schroeder",2,"Claus von BÃ_low","Other","Known","White",FALSE,"Male","Jeremy Irons"
"Reversal of Fortune","tt0100486","US/UK",1990,15400000,"Barbet Schroeder",2,"Sunny von BÃ_low","Other","Known","White",FALSE,"Female","Glenn Close"
"Rhapsody in Blue","tt0038026","US",1945,NA,"Irving Rapper",1,"George Gershwin","Musician","Known","White",FALSE,"Male","Robert Alda"
"Richard III","tt0049674","UK",1955,NA,"Laurence Olivier",1,"Richard III of England","Historical","Known","White",FALSE,"Male","Laurence Olivier"
"Ricky 6","tt0156020","US",2000,NA,"Peter Filardi",1,"Richard ""Ricky"" Kasso","Criminal","Unknown",NA,FALSE,"Male","Vincent Kartheiser"
"Riding in Cars with Boys","tt0200027","US",2001,29800000,"Penny Marshall",1,"Beverly Donofrio","Other","Unknown",NA,FALSE,"Female","Drew Barrymore"
"Rise of the Footsoldier","tt0901507","UK",2007,NA,"Julian Gilbey",1,"Carlton Leach","Criminal","Unknown",NA,FALSE,"Male","Ricci Harnett"
"Rob Roy","tt0114287","US/UK",1995,31600000,"Michael Caton-Jones",1,"Robert Roy MacGregor","Other","Known","White",FALSE,"Male","Liam Neeson"
"Romero","tt0098219","US",1989,1320000,"John Duigan",1,"Oscar Romero","Other","Known","Hispanic (Latin American)",FALSE,"Male","Raul Julia"
"Rosewater","tt2752688","US",2014,3090000,"Jon Stewart",1,"Maziar Bahari","Media","Known","Middle Eastern",TRUE,"Male","Gael GarcÃ_a Bernal"
"Rudy","tt0108002","US",1993,22800000,"David Anspaugh",1,"Rudy Ruettiger","Athlete","Unknown",NA,FALSE,"Male","Sean Astin"
"Rush","tt1979320","US/UK",2013,26900000,"Ron Howard",2,"James Hunt","Athlete","Known","White",FALSE,"Male","Chris Hemsworth"
"Rush","tt1979320","US/UK",2013,26900000,"Ron Howard",2,"Niki Lauda","Athlete","Known","White",FALSE,"Male","Daniel BrÃ_hl"
"Saint Joan","tt0050928","US",1957,NA,"Otto Preminger",1,"Joan of Arc","Historical","Known","White",FALSE,"Female","Jean Seberg"
"Salome's Last Dance","tt0096029","US/UK",1988,331000,"Ken Russell",1,"Oscar Wilde","Author","Known","White",FALSE,"Male","Nickolas Grace"
"Santa Fe Trail","tt0033021","US",1940,NA,"Michael Curtiz",1,"John Brown","Other","Known","White",FALSE,"Male","Raymond Massey"
"Savage Messiah","tt0069225","UK",1972,NA,"Ken Russell",1,"Henri Gaudier-Brzeska","Artist","Unknown",NA,FALSE,"Male","Scott Antony"
"Saving Mr. Banks","tt2140373","US/UK",2013,83300000,"John Lee Hancock",2,"Walt Disney","Other","Known","White",FALSE,"Male","Tom Hanks"
"Saving Mr. Banks","tt2140373","US/UK",2013,83300000,"John Lee Hancock",2,"P.L. Travers","Author","Known","White",FALSE,"Female","Emma Thompson"
"Schindler's List","tt0108052","US",1993,96100000,"Steven Spielberg",1,"Oskar Schindler","Other","Known","White",FALSE,"Male","Liam Neeson"
"Scott of the Antarctic","tt0040761","UK",1948,NA,"Charles Frend",1,"Robert Falcon Scott","Other","Known","White",FALSE,"Male","John Mills"
"Searching for Bobby Fischer","tt0108065","US",1993,7270000,"Steven Zaillian",1,"Josh Waitzkin","Other","Unknown",NA,FALSE,"Male","Max Pomeranc"
"Selena","tt0120094","US",1997,35400000,"Gregory Nava",1,"Selena Quintanilla-Perez","Singer","Known","Hispanic (Latina)",TRUE,"Female","Jennifer Lopez"
"Self Medicated","tt0341569","US",2005,98800,"Monty Lapica",1,"Monty Lapica","Other","Unknown",NA,FALSE,"Male","Monty Lapica"
"Selma","tt1020072","US/UK",2014,52100000,"Ava DuVernay",1,"Martin Luther King, Jr","Activist","Known","African American",TRUE,"Male","David Oyelowo"
"Sergeant York","tt0034167","US",1941,16400000,"Howard Hawks",1,"Alvin C. York","Military","Known","White",FALSE,"Male","Gary Cooper"
"Serpico","tt0070666","US",1973,NA,"Sidney Lumet",1,"Frank Serpico","Other","Known","White",FALSE,"Male","Al Pacino"
"Set Fire to the Stars","tt3455740","UK",2014,3270,"Andy Goddard",1,"Dylan Thomas","Author (poet)","Known","White",FALSE,"Male","Celyn Jones"
"Seven Years in Tibet","tt0120102","US/UK",1997,37900000,"Jean-Jacques Annaud",1,"Heinrich Harrer","Other","Known","White",FALSE,"Male","Brad Pitt"
"Sex & Drugs & Rock & Roll","tt1393020","UK",2010,NA,"Mat Whitecross",1,"Ian Dury","Musician","Unknown",NA,FALSE,"Male","Andy Serkis"
"Shadowlands","tt0108101","UK",1993,25800000,"Richard Attenborough",2,"C.S. Lewis","Author","Known","White",FALSE,"Male","Anthony Hopkins"
"Shadowlands","tt0108101","UK",1993,25800000,"Richard Attenborough",2,"Joy Gresham","Author (poet)","Known","White",FALSE,"Female","Debra Winger"
"Sid and Nancy","tt0091954","UK",1986,2830000,"Alex Cox",2,"Sid Vicious","Singer","Unknown",NA,FALSE,"Male","Gary Oldman"
"Sid and Nancy","tt0091954","UK",1986,2830000,"Alex Cox",2,"Nancy Spungen","Other","Unknown",NA,FALSE,"Female","Chloe Webb"
"Silkwood","tt0086312","US",1983,35600000,"Mike Nichols",1,"Karen Silkwood","Activist","Unknown",NA,FALSE,"Female","Meryl Streep"
"Sister Kenny","tt0038948","US",1946,NA,"Dudley Nichols",1,"Elizabeth Kenny","Medicine","Known","White",FALSE,"Female","Rosalind Russell"
"Sixty Six","tt0493450","UK",2006,225000,"Paul Weiland",1,"Paul Weiland","Other","Unknown",NA,FALSE,"Male","Gregg Sulkin"
"Skin","tt0964586","UK",2008,NA,"Anthony Fabian",1,"Sandra Laing","Other","Known","African",TRUE,"Female","Sophie Okonedo"
"Somebody Up There Likes Me","tt0049778","US",1956,NA,"Robert Wise",1,"Rocky Graziano","Athlete","Known","White",FALSE,"Male","Paul Newman"
"Son of God","tt3210686","US",2014,59700000,"Christopher Spencer",1,"Jesus","Historical","Known","Middle Eastern (White)",FALSE,"Male","Diogo Morgado"
"Soul Surfer","tt1596346","US",2011,43900000,"Sean McNamara",1,"Bethany Hamilton","Athlete","Unknown",NA,FALSE,"Female","AnnaSophia Robb"
"Spartacus","tt0054331","US",1960,NA,"Stanley Kubrick",1,"Spartacus","Historical","Unknown",NA,FALSE,"Male","Kirk Douglas"
"Spitfire","tt0034734","UK",1942,NA,"Leslie Howard",1,"R. J. Mitchell","Military","Known","White",FALSE,"Male","Leslie Howard"
"Squanto: A Warrior's Tale","tt0111271","US",1994,3340000,"Xavier Koller",1,"Squanto","Historical","Known","Native American",TRUE,"Male","Adam Beach"
"Stander","tt0326208","Canada/UK",2003,19100,"Bronwen Hughes",1,"Andre Stander","Other","Known","White",FALSE,"Male","Thomas Jane"
"Star 80","tt0086355","US",1983,6500000,"Bob Fosse",1,"Dorothy Stratten","Actress","Known","White",FALSE,"Female","Mariel Hemingway"
"Star!","tt0063642","US",1968,4e+06,"Robert Wise",1,"Gertrude Lawrence","Actress","Known","White",FALSE,"Female","Julie Andrews"
"Stars and Stripes Forever","tt0045187","US",1952,NA,"Henry Koster",1,"John Philip Sousa","Musician","Known","White",FALSE,"Male","Clifton Webb"
"Steal This Movie","tt0161216","US",2000,76100,"Robert Greenwald",1,"Abbie Hoffman","Activist","Known","White",FALSE,"Male","Vincent D'Onofrio"
"Stealing Sinatra","tt0311863","US",2003,NA,"Ron Underwood",2,"Barry Keenan","Criminal","Unknown",NA,FALSE,"Male","David Arquette"
"Stealing Sinatra","tt0311863","US",2003,NA,"Ron Underwood",2,"Frank Sinatra, Jr.","Other","Known","White",FALSE,"Male","Thomas Ian Nicholas"
"Stoned","tt0426627","UK",2005,NA,"Stephen Woolley",1,"Brian Jones","Musician","Known","White",FALSE,"Male","Leo Gregory"
"Story of G.I. Joe","tt0038120","US",1945,NA,"William A. Wellman",1,"Ernie Pyle","Media","Unknown",NA,FALSE,"Male","Burgess Meredith"
"Strauss' Great Waltz","tt0024747","UK",1934,NA,"Alfred Hitchcock",2,"Johann Strauss I","Musician","Known","White",FALSE,"Male","Edmund Gwenn"
"Strauss' Great Waltz","tt0024747","UK",1934,NA,"Alfred Hitchcock",2,"Johann Strauss II","Musician","Known","White",FALSE,"Male","Esmond Knight"
"Sunrise at Campobello","tt0054354","US",1960,NA,"Vincent J. Donehue",1,"Franklin Roosevelt","World leader","Known","White",FALSE,"Male","Ralph Bellamy"
"Surviving Picasso","tt0117791","US",1996,1990000,"James Ivory",1,"Francoise Gilot","Artist","Known","White",FALSE,"Female","Natascha McElhone"
"Sweet Dreams","tt0090110","US",1985,NA,"Karel Reisz",1,"Patsy Cline","Singer","Known","White",FALSE,"Female","Jessica Lange"
"Swimming Upstream","tt0326664","US",2003,47200,"Russell Mulcahy",1,"Tony Fingleton","Athlete","Unknown",NA,FALSE,"Male","Geoffrey Rush"
"Swoon","tt0105508","US",1992,340000,"Tom Kalin",2,"Nathan Leopold Jr.","Criminal","Known","White",FALSE,"Male","Craig Chester"
"Swoon","tt0105508","US",1992,340000,"Tom Kalin",2,"Richard Loeb","Criminal","Known","White",FALSE,"Male","Daniel Schlachet"
"Sylvia","tt0325055","UK",2003,1300000,"Christine Jeffs",2,"Sylvia Plath","Author (poet)","Known","White",FALSE,"Female","Gwyneth Paltrow"
"Sylvia","tt0325055","UK",2003,1300000,"Christine Jeffs",2,"Ted Hughes","Author (poet)","Known","White",FALSE,"Male","Daniel Craig"
"Talk to Me","tt0796368","US",2007,4470000,"Kasi Lemmons",1,"Ralph ""Petey"" Greene","Activist","Known","African American",TRUE,"Male","Don Cheadle"
"Ted Bundy","tt0284929","US",2002,NA,"Matthew Bright",1,"Ted Bundy","Criminal","Known","White",FALSE,"Male","Michael Reilly Burke"
"Telstar: The Joe Meek Story","tt1068669","UK",2008,NA,"Nick Moran",1,"Joe Meek","Musician","Known","White",FALSE,"Male","Con O'Neill"
"Testament of Youth","tt1441953","UK",2014,671000,"James Kent",1,"Vera Brittain","Other","Unknown",NA,FALSE,"Female","Alicia Vikander"
"The 5th Quarter","tt1130964","US",2010,4e+05,"Rick Bieber",1,"Jon Abbate","Athlete","Unknown",NA,FALSE,"Male","Ryan Merriman"
"The Actress","tt0045471","US",1953,NA,"George Cukor",1,"Ruth Gordon Jones","Actress","Unknown",NA,FALSE,"Female","Jean Simmons"
"The Adventures of Marco Polo","tt0029842","US",1938,NA,"Archie Mayo",1,"Marco Polo","Historical","Known","White",FALSE,"Male","Gary Cooper"
"The Adventures of Mark Twain","tt0036582","US",1944,NA,"Irving Rapper",1,"Samuel Clemens","Author","Known","White",FALSE,"Male","Frederic March"
"The Assassination of Jesse James by the Coward Robert Ford","tt0443680","US/UK/Canada",2007,3900000,"Andrew Dominik",2,"Jesse James","Criminal","Known","White",FALSE,"Male","Brad Pitt"
"The Assassination of Jesse James by the Coward Robert Ford","tt0443680","US/UK/Canada",2007,3900000,"Andrew Dominik",2,"Robert Ford","Criminal","Unknown",NA,FALSE,"Male","Casey Affleck"
"The Assassination of Richard Nixon","tt0364961","US",2004,698000,"Niels Mueller",1,"Samuel Byck","Other","Unknown",NA,FALSE,"Male","Sean Penn"
"The Assassination of Trotsky","tt0068226","UK",1972,NA,"Joseph Losey",1,"Leon Trotsky","Activist","Known","White",FALSE,"Male","Richard Burton"
"The Aviator","tt0338751","US",2004,1.03e+08,"Martin Scorsese",1,"Howard Hughes","Other","Unknown",NA,FALSE,"Male","Leonardo DiCaprio"
"The Babe","tt0103747","US",1992,17500000,"Arthur Hiller",1,"Babe Ruth","Athlete","Known","White",FALSE,"Male","John Goodman"
"The Babe Ruth Story","tt0040142","US",1948,NA,"Roy Del Ruth",1,"Babe Ruth","Athlete","Known","White",FALSE,"Male","William Bendix"
"The Bang Bang Club","tt1173687","Canada",2010,NA,"Steven Silver",4,"Greg Marinovich","Media","Unknown",NA,FALSE,"Male",NA
"The Bang Bang Club","tt1173687","Canada",2010,NA,"Steven Silver",4,"JoÃ£o Silva","Media","Known","White",FALSE,"Male",NA
"The Bang Bang Club","tt1173687","Canada",2010,NA,"Steven Silver",4,"Ken Oosterbroek","Media","Unknown",NA,FALSE,"Male",NA
"The Bang Bang Club","tt1173687","Canada",2010,NA,"Steven Silver",4,"Kevin Carter","Media","Known","White",FALSE,"Male","Taylor Kitsch"
"The Barretts of Wimpole Street","tt0024865","US",1934,NA,"Sidney Franklin",2,"Elizabeth Barrett","Author (poet)","Known","Multi racial",FALSE,"Female","Norma Shearer"
"The Barretts of Wimpole Street","tt0024865","US",1934,NA,"Sidney Franklin",2,"Robert Browning","Author (poet)","Known","Multi racial",FALSE,"Male","Fredric March"
"The Basketball Diaries","tt0112461","US",1995,2420000,"Scott Kalvert",1,"Jim Carroll","Author","Known","White",FALSE,"Male","Leonardo DiCaprio"
"The Benny Goodman Story","tt0047873","US",1956,NA,"Valentine Davies",1,"Benny Goodman","Musician","Known","White",FALSE,"Male","Steve Allen"
"The Best Intentions","tt0104350","UK",1992,1300000,"Bille August",2,"Erik Bergman","Other","Unknown",NA,FALSE,"Male","With: Samuel FrÃƒÂ¶ler, Pernilla August, Max von Sydow"
"The Best Intentions","tt0104350","UK",1992,1300000,"Bille August",2,"Karin Ã…kerblom","Other","Unknown",NA,FALSE,"Female",NA
"The Better Angels","tt2316868","US",2014,NA,"A.J. Edwards",1,"Abraham Lincoln","World leader","Known","White",FALSE,"Male","Jason Clarke"
"The Blind Side","tt0878804","US",2009,2.56e+08,"John Lee Hancock",1,"Michael Oher","Athlete","Known","African American",TRUE,"Male","Quinton Aaron"
"The Boy in Blue","tt0090769","Canada",1986,275000,"Charles Jarrott",1,"Ned Hanlan","Athlete","Known","White",FALSE,"Male","Nicolas Cage"
"The Brittany Murphy Story","tt3957278","US",2014,NA,"Joe Menendez",1,"Brittany Murphy","Actress","Known","White",FALSE,"Female","Amanda Fuller"
"The Broken Tower","tt1756791","US",2011,NA,"James Franco",1,"Harold Hart Crane","Author (poet)","Unknown",NA,FALSE,"Male","James Franco"
